Nume,Functie,Dieta,Personaj
Cristi Fratoaica,second assistant camera: second unit (8 episodes 2022),Apt,Vampir
Toni Ilinca,video operator (8 episodes 2022),Vegetarian,Om
Ochiana Ionut,video assist operator (8 episodes 2022),Vegetarian,Vampir
Andrei Karastanef,"second assistant camera: ""a"" camera (8 episodes 2022)",Vegetarian,Sirena
Brad Larner,"first assistant camera: ""a"" camera (8 episodes 2022)",Vegetarian,Vampir
Tudor Lucaciu,director of photography: second unit (8 episodes 2022),Flexitarian,Sirena
Radu Marinescu,key grip (8 episodes 2022),Flexitarian,Om
Florin Mihalache,gaffer (8 episodes 2022),Apt,Varcolac
Mihai Adrian Olteanu,best boy electric (8 episodes 2022),Flexitarian,Varcolac
Andrei Petrescu,electrician (8 episodes 2022),Flexitarian,Om
Liviu Pojoni Jr.,"camera operator: ""b"" camera (8 episodes 2022)",Vegetarian,Clarvazator
Florea Andrei Stefan,dimmerboard operator/lighting console programmer (8 episodes 2022),Apt,Vampir
Viorel Stefan,crane operator (8 episodes 2022),Vegetarian,Vampir
Adelina Vancea,camera trainee (8 episodes 2022),Apt,Clarvazator
Petre Victor,"camera operator: ""b"" camera (8 episodes 2022)",Vegetarian,Vampir
Rob Arrowsmith,"camera operator: ""a"" camera/steadicam operator main unit (4 episodes 2022)",Flexitarian,Om
Andrei Cretan,"first assistant camera: ""b"" camera (4 episodes 2022)",Apt,Sirena
Fabrizio Sciarra,"camera operator: ""a"" camera/steadicam operator main unit (4 episodes 2022)",Vegetarian,Om
Boroka Biro,director of photography: epk (2 episodes 2022),Apt,Om
Valdas Gulbinauskas,video assistant: additional photography (2 episodes 2022),Apt,Clarvazator
Matei Popa,second assistant camera: second unit (2 episodes 2022),Apt,Clarvazator
S�ndor �rkus,data management technician (2 episodes 2022),Flexitarian,Vampir
Cornel Biciu,underwater gaffer (1 episode 2022),Apt,Varcolac
Neil Bradley,ronin 2 technician: additional photography (1 episode 2022),Vegetarian,Clarvazator
Alexandru Durac,"camera operator: ""a"" camera/steadicam operator (1 episode 2022)",Apt,Varcolac
Sarbu Gigi,key grip: second unit (1 episode 2022),Apt,Om
Ben Parish,underwater assistant camera (1 episode 2022),Vegetarian,Om
Aurelian Radu,grip (2 episodes 2022),Vegetarian,Vampir
Ian Seabrook,underwater director of photography (1 episode 2022),Flexitarian,Om
Constantin Stan,second unit (1 episode 2022),Flexitarian,Clarvazator
Alexandru Bogdan Stefan,crane technician (2 episodes 2022),Flexitarian,Vampir
Bal�zs V�rszegi,data management technician (2 episodes 2022),Apt,Clarvazator
Jens Winkler,underwater assistant camera (1 episode 2022),Apt,Vampir
Catalin Popa,photography assistant (uncredited) (8 episodes 2022),Flexitarian,Clarvazator
Peter Driscoll,key animator (1 episode 2022),Flexitarian,Om
Whitney Strouth,animator (uncredited) (1 episode 2022),Apt,Varcolac
Emily Bohbrink,casting associate (8 episodes 2022),Vegetarian,Sirena
Sin�ad Donnelly,casting assistant: Jenna Ortega (8 episodes 2022),Apt,Vampir
Radu Dragoi,casting assistant (8 episodes 2022),Flexitarian,Om
Frankie Fearis,casting assistant (8 episodes 2022),Vegetarian,Varcolac
Olissa Rogers,casting associate: Jenna Ortega (8 episodes 2022),Apt,Om
Chandra Ruegg,casting associate (8 episodes 2022),Vegetarian,Vampir
Fiona Weir,casting: Jenna Ortega (8 episodes 2022),Vegetarian,Vampir
Sarah Wilson,casting associate (8 episodes 2022),Vegetarian,Vampir
Maddalena Zuppetta,casting assistant (8 episodes 2022),Vegetarian,Om
George Ludlow,casting associate (3 episodes 2022),Apt,Varcolac
Ioana Albaiu,wardrobe supervisor (8 episodes 2022),Apt,Om
Madalina Anton,breakdown artist (8 episodes 2022),Apt,Vampir
Mattia Bionda,principal costume cutter (8 episodes 2022),Apt,Clarvazator
Mariana Bujoi,costumer (8 episodes 2022),Vegetarian,Varcolac
Maria Ciucanu,wardrobe mistress (8 episodes 2022),Flexitarian,Clarvazator
Ylenia Comerci,principal seamstress (8 episodes 2022),Vegetarian,Varcolac
Lavinia Dedu,set costumer (8 episodes 2022),Apt,Varcolac
Constantinescu Denisa,wardrobe assistant (8 episodes 2022),Vegetarian,Sirena
Andreea Dinu,principal standby (8 episodes 2022),Apt,Om
Maria Endara,senior costume maker (8 episodes 2022),Vegetarian,Sirena
Cristina Ghergheli,set costumer (8 episodes 2022),Apt,Varcolac
Megan Howell,senior costume maker (8 episodes 2022),Apt,Om
Daniela Ilin,set costumer (8 episodes 2022),Vegetarian,Om
Benjamin Ip,costume concept artist (8 episodes 2022),Vegetarian,Vampir
Ana Lazar,wardrobe assistant (8 episodes 2022),Flexitarian,Om
Paula Lazaroni,breackdown artist (8 episodes 2022),Apt,Varcolac
Twan Lentjes,principal costume maker (8 episodes 2022),Vegetarian,Sirena
Ioana Mihailescu,wardrobe assistant / crowd standby costumer / crowd stand-by costumer (8 episodes 2022),Vegetarian,Om
Alessio O'Driscoll,principle costume cutter (8 episodes 2022),Apt,Vampir
Ioana Somanescu,principal standby (8 episodes 2022),Apt,Vampir
Bobby Soutar,assistant costume designer (8 episodes 2022),Flexitarian,Om
Mark Sutherland,costume co-designer (8 episodes 2022),Apt,Sirena
Beth Tilley,senior costume maker (8 episodes 2022),Flexitarian,Om
Jess Willcock-Stow,junior assistant costume designer / junior assistant costume designerr (8 episodes 2022),Apt,Sirena
Elizabeta Zainea,wardrobe assistant (8 episodes 2022),Apt,Sirena
Marta Airoli,principal seamstress (5 episodes 2022),Apt,Vampir
Ian Frazer Wallace,principle cutter (5 episodes 2022),Apt,Clarvazator
Adina Bucur,costume supervisor (4 episodes 2022),Flexitarian,Om
Claudia Littlefield,costume supervisor (3 episodes 2022),Flexitarian,Varcolac
Alina Caprian,additional costumer (1 episode 2022),Flexitarian,Clarvazator
Madison D'Urbano,post-production assistant: Marc Graue Recording Studios (8 episodes 2022),Flexitarian,Varcolac
Bogdan Geambasu,dailies operator (8 episodes 2022),Apt,Vampir
Katherine Hul,post production supervisor (8 episodes 2022),Apt,Sirena
Razvan Ilinca,assistant editor (8 episodes 2022),Vegetarian,Sirena
Tom Mayclim,data manager: Company 3 (8 episodes 2022),Vegetarian,Om
Ian Passy,Color Assistant (8 episodes 2022),Apt,Varcolac
Sebastian Plamadeala,dailies supervisor (8 episodes 2022),Vegetarian,Sirena
Carmen Rizac,dailies coordinator (8 episodes 2022),Apt,Varcolac
Joanne Rourke,senior colorist (7 episodes 2022),Flexitarian,Clarvazator
Alexandru Stoica,dailies operator (8 episodes 2022),Apt,Sirena
Ian Sullivan,finishing accountant (8 episodes 2022),Vegetarian,Varcolac
Lavinia Terletchi,assistant editor (8 episodes 2022),Vegetarian,Varcolac
Viktorija Tupikaite,data i/o operator (8 episodes 2022),Vegetarian,Varcolac
Motassem Younes,on-line editor (8 episodes 2022),Flexitarian,Vampir
Galina Chakarova,first assistant editor (4 episodes 2022),Vegetarian,Varcolac
Mihai Cosmin Popa,first assistant editor (4 episodes 2022),Apt,Om
Paul G. Day,additional editor (1 episode 2022),Apt,Om
Cristi Dogaru,assistant location manager (8 episodes 2022),Flexitarian,Clarvazator
Calin Hagima,location manager (8 episodes 2022),Apt,Varcolac
Tracey Savein,location scout (8 episodes 2022),Apt,Clarvazator
Alex Molea,supervising location manager (4 episodes 2022),Vegetarian,Sirena
Mircea Paraschiv,location manager (4 episodes 2022),Flexitarian,Varcolac
Florin Patrascu,assistant location manager (4 episodes 2022),Flexitarian,Sirena
Chris Bacon,composer: additional music (8 episodes 2022),Vegetarian,Sirena
Sarah Chapeck,music coordinator (8 episodes 2022),Flexitarian,Vampir
Norbert Elek,music preparation (8 episodes 2022),Vegetarian,Vampir
Danny Elfman,theme music composer (8 episodes 2022),Vegetarian,Sirena
Peter Kohrman,technical score engineer (8 episodes 2022),Vegetarian,Clarvazator
Jen Malone,music supervisor (8 episodes 2022),Vegetarian,Vampir
Mandy Mamlet,music executive (8 episodes 2022),Apt,Varcolac
�lveti M�ty�s,cello solos by (8 episodes 2022),Vegetarian,Om
Michael T. Ryan,music editor (8 episodes 2022),Flexitarian,Om
B�lint Sapszon,contractor for Budapest Scoring (8 episodes 2022),Flexitarian,Varcolac
Viktor Szab�,recording engineer (8 episodes 2022),Apt,Sirena
Nicole Weisberg,music supervisor (8 episodes 2022),Vegetarian,Clarvazator
Shachar Boussani,score mix assistant (6 episodes 2022),Vegetarian,Sirena
Robert Litton,orchestrator (6 episodes 2022),Flexitarian,Vampir
Noah Scot Snyder,music scoring mixer (6 episodes 2022),Vegetarian,Sirena
Esin Aydingoz,arranger (3 episodes 2022),Flexitarian,Sirena
Hemanth965,orchestrator: theme melody (3 episodes 2022),Apt,Sirena
Steve Bartek,orchestrator (2 episodes 2022),Apt,Varcolac
Bence Bob�k,score engineer (2 episodes 2022),Apt,Clarvazator
David G. Russell,conforming (2 episodes 2022),Flexitarian,Clarvazator
Greg Hayes,music scoring mixer (1 episode 2022),Vegetarian,Vampir
Bri Holland,singer (1 episode 2022),Apt,Sirena
Alfredo Pasquel,score mix assistant (1 episode 2022),Apt,Vampir
Cristina B�lea,assistant script supervisor (8 episodes 2022),Apt,Clarvazator
Monica Tatu,script supervisor (8 episodes 2022),Apt,Sirena
Daniel Sipocz,service driver (8 episodes 2022),Flexitarian,Clarvazator
Pal Szil�rd Levente,unit driver (8 episodes 2022),Flexitarian,Clarvazator
Priscila Amescua-Mendez,Support to co executive producer (8 episodes 2022),Vegetarian,Vampir
Dogaru Silviu Andrei,unit production assistant / unit set assistant (8 episodes 2022),Vegetarian,Varcolac
Aaron Becker,main title design (8 episodes 2022),Apt,Vampir
Gergo Benkoczy,dog trainer (8 episodes 2022),Flexitarian,Clarvazator
Dascalu Bogdan,unit production assistant (8 episodes 2022),Flexitarian,Varcolac
Teo Bostanica,unit manager (8 episodes 2022),Apt,Clarvazator
Alexandra Cranga,petty cash accountant (8 episodes 2022),Flexitarian,Vampir
Razvana Cristescu,first assistant accountant (8 episodes 2022),Apt,Varcolac
Claudia Dediu,producer's assistant (8 episodes 2022),Flexitarian,Vampir
Penny Dyer,dialect coach (8 episodes 2022),Apt,Clarvazator
Zoltan Horkai,head animal trainer (8 episodes 2022),Apt,Varcolac
Ana Ineni,production secretary (8 episodes 2022),Flexitarian,Varcolac
Emanuel Gabriel Ion,testing coordinator assistant (8 episodes 2022),Flexitarian,Clarvazator
Gavriloaia Irina,assistant contracts coordinator (8 episodes 2022),Vegetarian,Vampir
Peter Ivanyi,head animal trainer (8 episodes 2022),Flexitarian,Vampir
Austin Kircher,post-production accountant (8 episodes 2022),Flexitarian,Varcolac
Christopher Landry,epk host (8 episodes 2022),Apt,Vampir
Nelson Moses Lassiter,production administration assistant (8 episodes 2022),Vegetarian,Clarvazator
Ioana Macarie,choreographer (8 episodes 2022),Apt,Sirena
Cosmin Manea,payroll accountant (8 episodes 2022),Vegetarian,Vampir
Elle McAlpine,intimacy coordinator (8 episodes 2022),Vegetarian,Vampir
Troy James Miller,titles producer: Filmograph (8 episodes 2022),Vegetarian,Om
Dan Mirea,unit operations (8 episodes 2022),Flexitarian,Sirena
Ioana Mititelu,assistant production coordinator (8 episodes 2022),Flexitarian,Clarvazator
Kristine Popovici,office production assistant (8 episodes 2022),Apt,Om
Aurel Nicolae Radu,assistant accountant (8 episodes 2022),Flexitarian,Om
Olesea Railean,production accountant (8 episodes 2022),Flexitarian,Sirena
Adrian Sabau,production coordinator (8 episodes 2022),Vegetarian,Sirena
Iulia Anamaria Sima,contracts coordinator (8 episodes 2022),Vegetarian,Clarvazator
Daniela Soare,production assistant (8 episodes 2022),Apt,Sirena
Adam M. Stone,product placement coordinator (8 episodes 2022),Flexitarian,Om
Cat Stone,product placement coordinator (8 episodes 2022),Vegetarian,Varcolac
Georgiana Tamaga,travel coordinator (8 episodes 2022),Apt,Vampir
Logi Thorvaldsson,actors assistant (8 episodes 2022),Apt,Clarvazator
Toria Turner,executive assistant (8 episodes 2022),Vegetarian,Varcolac
Tony Wright,international liaison (8 episodes 2022),Apt,Clarvazator
Bianca Bumbacea,basecamp runner (7 episodes 2022),Flexitarian,Vampir
Lindsay Moffat,production accountant (4 episodes 2022),Apt,Vampir
Gunnar Sizemore,adr voice actor (4 episodes 2022),Flexitarian,Om
Bacula Sorin,caterer (3 episodes 2022),Flexitarian,Clarvazator
Monica Adam,petty cash (2 episodes 2022),Vegetarian,Om
Liliana Chomsky,adr loop group (2 episodes 2022),Vegetarian,Sirena
Vanessa Coffey,intimacy coordinator (2 episodes 2022),Flexitarian,Vampir
Marius Florescu,covid supervisor (2 episodes 2022),Flexitarian,Clarvazator
Marilyn Lindsay,prep accountant (2 episodes 2022),Vegetarian,Clarvazator
Rhidian Bridge,covid supervisor (1 episode 2022),Vegetarian,Varcolac
Bianca Bumvacea,basecamp runner (1 episode 2022),Apt,Om
Luke Carroll,production secretary: additional photography (1 episode 2022),Vegetarian,Sirena
Ahmed El-Gallad,writer (1 episode 2022),Vegetarian,Om
Jorge Garcia Castro,consultant (1 episode 2022),Vegetarian,Vampir
Adam Lannon,covid manager (1 episode 2022),Apt,Sirena
Sarah McGuinness,dialect coach: James Clay Caroline Lawrie (1 episode 2022),Vegetarian,Om
Annabel Wilkin,first assistant accountant: UK (1 episode 2022),Flexitarian,Om
Eugene Shawn,assistant (uncredited) (8 episodes 2022),Flexitarian,Sirena
Ana Duarte,assistant to casting director (uncredited) (1 episode 2022),Vegetarian,Clarvazator
Isaac Sunderland,covid coordinator (uncredited) (1 episode 2022),Apt,Sirena
xsufp,vamp,Flexitarian,Varcolac
qvidq,clair,Flexitarian,Sirena
rcamh,merm,Apt,Om
fsemm,wolf,Apt,Om
mxitr,clair,Apt,Om
sxeqb,vamp,Apt,Sirena
fwesk,man,Apt,Clarvazator
fgojx,clair,Vegetarian,Clarvazator
ppaxq,wolf,Apt,Clarvazator
gwitq,merm,Vegetarian,Sirena
mvirj,vamp,Apt,Om
knerr,clair,Apt,Varcolac
wpoxt,clair,Flexitarian,Varcolac
jduwg,wolf,Vegetarian,Vampir
pxahb,man,Flexitarian,Clarvazator
fgokp,clair,Apt,Sirena
jlisv,wolf,Apt,Varcolac
hvokh,merm,Vegetarian,Clarvazator
fwifj,clair,Apt,Varcolac
whojh,merm,Vegetarian,Vampir
pweqv,man,Flexitarian,Om
nwemd,wolf,Apt,Vampir
dqusq,merm,Apt,Sirena
dfogk,vamp,Flexitarian,Om
jbibk,man,Vegetarian,Sirena
wdabq,vamp,Flexitarian,Vampir
nvels,man,Vegetarian,Sirena
tnaxl,wolf,Vegetarian,Clarvazator
xlalv,vamp,Apt,Vampir
vkidj,wolf,Flexitarian,Vampir
jvunw,vamp,Apt,Varcolac
tnitj,wolf,Apt,Clarvazator
tjutb,vamp,Vegetarian,Clarvazator
jkalc,vamp,Vegetarian,Vampir
lsahm,wolf,Apt,Om
themq,vamp,Apt,Vampir
bgatt,merm,Flexitarian,Varcolac
nsuvt,merm,Apt,Om
ldudn,merm,Apt,Vampir
kkawt,man,Apt,Clarvazator
hnutl,vamp,Vegetarian,Clarvazator
mnevs,wolf,Vegetarian,Om
tniqm,clair,Vegetarian,Vampir
lvofp,vamp,Vegetarian,Clarvazator
wpuvn,vamp,Apt,Clarvazator
lhasx,vamp,Flexitarian,Varcolac
kwibt,wolf,Flexitarian,Varcolac
kgejx,vamp,Flexitarian,Sirena
djixh,man,Vegetarian,Varcolac
xranx,merm,Apt,Varcolac
rvans,clair,Vegetarian,Sirena
rtunw,vamp,Vegetarian,Clarvazator
ftefh,merm,Vegetarian,Vampir
wrofl,vamp,Apt,Sirena
wneds,man,Apt,Sirena
dnanb,vamp,Flexitarian,Varcolac
dnoqp,merm,Vegetarian,Varcolac
tguvb,merm,Vegetarian,Vampir
tloxs,vamp,Flexitarian,Om
dmokw,vamp,Apt,Sirena
jruwp,man,Flexitarian,Vampir
fxogw,merm,Flexitarian,Varcolac
chaft,clair,Flexitarian,Clarvazator
vrikm,clair,Apt,Vampir
qlavw,merm,Apt,Sirena
tkikn,clair,Apt,Vampir
jxapv,wolf,Flexitarian,Om
lwotm,vamp,Apt,Om
lpett,merm,Apt,Vampir
twiss,vamp,Flexitarian,Sirena
cvesm,merm,Vegetarian,Sirena
cjebv,wolf,Vegetarian,Sirena
vqobg,man,Vegetarian,Sirena
mjusq,vamp,Vegetarian,Varcolac
hjumh,wolf,Vegetarian,Sirena
cpakl,man,Apt,Om
mdegh,man,Apt,Clarvazator
nkuhs,man,Vegetarian,Sirena
lrulj,man,Vegetarian,Varcolac
mvawg,wolf,Vegetarian,Om
kcojx,clair,Apt,Sirena
ckuxg,wolf,Apt,Varcolac
nkaps,clair,Flexitarian,Clarvazator
frowk,wolf,Vegetarian,Vampir
hwuht,man,Apt,Sirena
mherb,clair,Vegetarian,Clarvazator
vjipb,wolf,Vegetarian,Varcolac
rjacr,man,Apt,Vampir
vkiqr,wolf,Vegetarian,Varcolac
lposb,vamp,Vegetarian,Varcolac
llalr,clair,Vegetarian,Varcolac
ltihg,wolf,Flexitarian,Vampir
htutg,vamp,Flexitarian,Om
rhegx,clair,Apt,Vampir
hbopd,merm,Apt,Om
nlokg,wolf,Apt,Clarvazator
hwuxv,man,Flexitarian,Clarvazator
csowb,man,Vegetarian,Vampir
bnamk,man,Flexitarian,Clarvazator
wgajl,man,Flexitarian,Sirena
sverc,wolf,Vegetarian,Vampir
ncikk,man,Apt,Clarvazator
dxepg,vamp,Apt,Varcolac
lriqf,merm,Vegetarian,Om
kmuwl,wolf,Flexitarian,Clarvazator
gfigh,merm,Vegetarian,Clarvazator
cjirl,wolf,Vegetarian,Vampir
skunc,wolf,Flexitarian,Om
qrexk,vamp,Flexitarian,Clarvazator
fqotd,man,Flexitarian,Sirena
nvisq,vamp,Flexitarian,Vampir
xkirk,clair,Vegetarian,Vampir
lmabj,clair,Flexitarian,Om
vxeff,wolf,Apt,Sirena
krekv,wolf,Apt,Varcolac
bhafx,vamp,Apt,Vampir
xgajm,merm,Apt,Vampir
rkuxm,clair,Flexitarian,Sirena
cgekc,wolf,Flexitarian,Vampir
bpawj,man,Flexitarian,Varcolac
vnoxk,man,Vegetarian,Clarvazator
sgavd,man,Vegetarian,Clarvazator
htidl,man,Vegetarian,Varcolac
fnimh,clair,Apt,Varcolac
fmesl,clair,Apt,Sirena
chofb,man,Apt,Om
jsudj,merm,Vegetarian,Clarvazator
ldawr,clair,Vegetarian,Om
cwasx,vamp,Flexitarian,Clarvazator
gsuck,clair,Flexitarian,Vampir
gpind,man,Apt,Om
lpifc,wolf,Apt,Varcolac
---Perioada de 30 de zile---
Transport: ,44164$
Cazare: ,962850$
Machiaj: ,1471101$
Mancare: ,445723$
Apa: ,16872$
Cafea: ,84362$
Suc: ,17997$
Inchiriere spatiu: ,64794$

---Perioada de 45 de zile---
Transport: ,44164$
Cazare: ,1444276$
Machiaj: ,2206652$
Mancare: ,668585$
Apa: ,25308$
Cafea: ,126544$
Suc: ,26996$
Inchiriere spatiu: ,97192$

---Perioada de 60 de zile---
Transport: ,44164$
Cazare: ,1925701$
Machiaj: ,2942203$
Mancare: ,891447$
Apa: ,33745$
Cafea: ,168725$
Suc: ,35994$
Inchiriere spatiu: ,129589$

---Perioada de 100 de zile---
Transport: ,44164$
Cazare: ,3209503$
Machiaj: ,4903671$
Mancare: ,1485745$
Apa: ,56241$
Cafea: ,281209$
Suc: ,59991$
Inchiriere spatiu: ,215982$

